Episode Number,Random Agent,Naïve Sarsa,"Sarsa, Space Discretized","Sarsa, Space Discretized, Noisy Observation",Deep Q-Network,"Deep Q-Network, Noisy Observation",Dueling Deep Q-Network,"Dueling Deep Q-Network, Noisy Observation",REINFORCE,"REINFORCE, Noisy Observation"
41,-1.56E+02,-1.93E+02,-1.76E+02,-1.27E+02,-4.07E+02,-167.37,-2.60E+02,-142.8,-1.99E+02,-1.56E+02
42,-1.60E+02,-1.92E+02,-1.77E+02,-1.27E+02,-4.01E+02,-164.63,-3.30E+02,-141.7,-1.97E+02,-1.55E+02
43,-1.62E+02,-1.89E+02,-1.75E+02,-1.26E+02,-3.95E+02,-161.64,-3.25E+02,-140.9,-1.95E+02,-1.54E+02
44,-1.60E+02,-1.88E+02,-1.72E+02,-1.26E+02,-4.50E+02,-157.12,-3.20E+02,-139.2,-1.94E+02,-1.52E+02
45,-1.65E+02,-1.86E+02,-1.71E+02,-1.26E+02,-4.61E+02,-180.61,-3.13E+02,-140.5,-1.93E+02,-1.51E+02
46,-1.63E+02,-1.86E+02,-1.70E+02,-1.26E+02,-4.84E+02,-180.38,-3.05E+02,-139.2,-1.92E+02,-1.51E+02
47,-1.63E+02,-1.84E+02,-1.71E+02,-1.26E+02,-4.75E+02,-184.13,-3.01E+02,-137.6,-1.92E+02,-1.50E+02
48,-1.62E+02,-1.84E+02,-1.72E+02,-1.26E+02,-4.67E+02,-193.61,-2.95E+02,-134.6,-1.96E+02,-1.49E+02
49,-1.63E+02,-1.85E+02,-1.72E+02,-1.27E+02,-4.60E+02,-190.55,-2.91E+02,-137.9,-1.95E+02,-1.48E+02
50,-1.62E+02,-1.88E+02,-1.71E+02,-1.27E+02,-4.53E+02,-209.99,-2.86E+02,-135.8,-1.94E+02,-1.47E+02
51,-1.64E+02,-1.91E+02,-1.70E+02,-1.27E+02,-4.43E+02,-208.66,-2.82E+02,-134.8,-1.92E+02,-1.49E+02
52,-1.64E+02,-1.87E+02,-1.68E+02,-1.27E+02,-4.36E+02,-209.21,-2.78E+02,-135.2,-1.95E+02,-1.48E+02
53,-1.63E+02,-1.91E+02,-1.67E+02,-1.28E+02,-4.31E+02,-208.42,-2.77E+02,-133.8,-1.94E+02,-1.47E+02
54,-1.62E+02,-1.93E+02,-1.67E+02,-1.28E+02,-4.27E+02,-207.23,-2.75E+02,-132.8,-1.92E+02,-1.48E+02
55,-1.66E+02,-1.95E+02,-1.66E+02,-1.28E+02,-4.22E+02,-212.08,-2.67E+02,-138,-1.90E+02,-1.48E+02
56,-1.65E+02,-2.00E+02,-1.66E+02,-1.29E+02,-4.13E+02,-211.81,-2.59E+02,-137.6,-1.91E+02,-1.48E+02
57,-1.63E+02,-2.00E+02,-1.64E+02,-1.29E+02,-4.03E+02,-212.49,-2.51E+02,-135.3,-1.90E+02,-1.49E+02
58,-1.59E+02,-1.98E+02,-1.64E+02,-1.29E+02,-4.01E+02,-211.56,-2.47E+02,-135.9,-1.89E+02,-1.49E+02
59,-1.57E+02,-1.97E+02,-1.61E+02,-1.29E+02,-3.97E+02,-212.32,-2.39E+02,-135.3,-1.88E+02,-1.51E+02
60,-1.61E+02,-1.94E+02,-1.59E+02,-1.29E+02,-4.06E+02,-209.12,-2.35E+02,-134,-1.90E+02,-1.52E+02
61,-1.65E+02,-1.91E+02,-1.57E+02,-1.26E+02,-3.99E+02,-210.99,-2.28E+02,-133.4,-1.89E+02,-1.52E+02
62,-1.64E+02,-1.92E+02,-1.59E+02,-1.26E+02,-3.95E+02,-210.85,-2.30E+02,-133,-1.88E+02,-1.53E+02
63,-1.63E+02,-1.94E+02,-1.58E+02,-1.26E+02,-3.89E+02,-209.43,-2.35E+02,-134.3,-1.88E+02,-1.52E+02
64,-1.62E+02,-1.92E+02,-1.57E+02,-1.26E+02,-3.86E+02,-207.12,-2.31E+02,-133.9,-1.87E+02,-1.51E+02
65,-1.61E+02,-1.91E+02,-1.58E+02,-1.26E+02,-3.85E+02,-207.71,-2.28E+02,-134.5,-1.85E+02,-1.54E+02
66,-1.64E+02,-1.89E+02,-1.57E+02,-1.26E+02,-3.84E+02,-207.72,-2.22E+02,-135.6,-1.86E+02,-1.55E+02
67,-1.65E+02,-1.88E+02,-1.56E+02,-1.27E+02,-3.78E+02,-207.13,-2.18E+02,-134.6,-1.85E+02,-1.55E+02
68,-1.69E+02,-1.87E+02,-1.54E+02,-1.27E+02,-3.75E+02,-206.59,-2.12E+02,-134.3,-1.88E+02,-1.55E+02
69,-1.70E+02,-1.85E+02,-1.55E+02,-1.27E+02,-3.70E+02,-205.87,-2.09E+02,-132.6,-1.87E+02,-1.54E+02
70,-1.70E+02,-1.84E+02,-1.56E+02,-1.27E+02,-3.69E+02,-199.98,-2.07E+02,-132.6,-1.86E+02,-1.52E+02
71,-1.72E+02,-1.85E+02,-1.55E+02,-1.27E+02,-3.62E+02,-195.49,-2.07E+02,-132.2,-1.86E+02,-1.52E+02
72,-1.70E+02,-1.84E+02,-1.54E+02,-1.27E+02,-3.60E+02,-193.85,-2.06E+02,-131.1,-1.85E+02,-1.51E+02
73,-1.71E+02,-1.83E+02,-1.53E+02,-1.27E+02,-3.55E+02,-192.36,-2.04E+02,-130.6,-1.86E+02,-1.51E+02
74,-1.71E+02,-1.81E+02,-1.53E+02,-1.27E+02,-3.47E+02,-193.06,-2.04E+02,-129.4,-1.85E+02,-1.51E+02
75,-1.70E+02,-1.79E+02,-1.53E+02,-1.28E+02,-3.43E+02,-191.54,-2.02E+02,-130.2,-1.87E+02,-1.52E+02
76,-1.70E+02,-1.78E+02,-1.52E+02,-1.28E+02,-3.42E+02,-187.42,-2.00E+02,-128.9,-1.89E+02,-1.51E+02
77,-1.70E+02,-1.77E+02,-1.52E+02,-1.28E+02,-3.43E+02,-183.09,-1.94E+02,-129.6,-1.87E+02,-1.51E+02
78,-1.70E+02,-1.76E+02,-1.51E+02,-1.28E+02,-3.40E+02,-182.46,-1.89E+02,-124.8,-1.87E+02,-1.50E+02
79,-1.70E+02,-1.74E+02,-1.50E+02,-1.28E+02,-3.38E+02,-181.42,-1.84E+02,-122.3,-1.86E+02,-1.50E+02
80,-1.68E+02,-1.73E+02,-1.50E+02,-1.28E+02,-3.31E+02,-179.07,-1.84E+02,-118.5,-1.86E+02,-1.50E+02
81,-1.68E+02,-1.71E+02,-1.49E+02,-1.28E+02,-3.25E+02,-175.85,-1.91E+02,-115.3,-1.86E+02,-1.49E+02
82,-1.67E+02,-1.73E+02,-1.48E+02,-1.28E+02,-3.20E+02,-174.31,-1.89E+02,-114.1,-1.88E+02,-1.49E+02
83,-1.66E+02,-1.75E+02,-1.48E+02,-1.27E+02,-3.20E+02,-170.45,-1.91E+02,-112.3,-1.87E+02,-1.48E+02
84,-1.70E+02,-1.78E+02,-1.47E+02,-1.27E+02,-3.22E+02,-167.73,-1.86E+02,-111.6,-1.85E+02,-1.48E+02
85,-1.71E+02,-1.77E+02,-1.46E+02,-1.27E+02,-3.18E+02,-164.92,-1.86E+02,-112,-1.84E+02,-1.50E+02
86,-1.73E+02,-1.75E+02,-1.44E+02,-1.28E+02,-3.14E+02,-161.07,-1.85E+02,-110.6,-1.84E+02,-1.49E+02
87,-1.74E+02,-1.76E+02,-1.44E+02,-1.27E+02,-3.11E+02,-156.43,-1.83E+02,-113.8,-1.83E+02,-1.49E+02
88,-1.76E+02,-1.75E+02,-1.43E+02,-1.28E+02,-3.08E+02,-157.34,-1.82E+02,-112.6,-1.82E+02,-1.49E+02
89,-1.75E+02,-1.76E+02,-1.42E+02,-1.28E+02,-3.04E+02,-153.32,-1.84E+02,-114.5,-1.81E+02,-1.48E+02
90,-1.75E+02,-1.75E+02,-1.42E+02,-1.28E+02,-2.98E+02,-150.43,-1.79E+02,-112.3,-1.80E+02,-1.50E+02
91,-1.76E+02,-1.75E+02,-1.42E+02,-1.29E+02,-2.95E+02,-149.83,-1.78E+02,-112.5,-1.79E+02,-1.51E+02
92,-1.75E+02,-1.74E+02,-1.44E+02,-1.29E+02,-2.91E+02,-146.37,-1.76E+02,-112.8,-1.78E+02,-1.51E+02
93,-1.76E+02,-1.75E+02,-1.43E+02,-1.31E+02,-2.91E+02,-143.17,-1.78E+02,-111.1,-1.78E+02,-1.50E+02
94,-1.78E+02,-1.75E+02,-1.43E+02,-1.32E+02,-2.88E+02,-140.06,-1.73E+02,-109.8,-1.79E+02,-1.51E+02
95,-1.77E+02,-1.75E+02,-1.42E+02,-1.31E+02,-2.83E+02,-140.74,-1.76E+02,-107.9,-1.79E+02,-1.51E+02
96,-1.79E+02,-1.76E+02,-1.42E+02,-1.31E+02,-2.78E+02,-140.1,-1.77E+02,-108.6,-1.80E+02,-1.51E+02
97,-1.78E+02,-1.77E+02,-1.41E+02,-1.31E+02,-2.77E+02,-139.03,-1.76E+02,-105.4,-1.81E+02,-1.50E+02
98,-1.77E+02,-1.78E+02,-1.39E+02,-1.31E+02,-2.75E+02,-136.46,-1.73E+02,-103.3,-1.81E+02,-1.50E+02
99,-1.76E+02,-1.77E+02,-1.39E+02,-1.31E+02,-2.72E+02,-137.76,-1.71E+02,-102.8,-1.80E+02,-1.50E+02
100,-1.75E+02,-1.76E+02,-1.39E+02,-1.31E+02,-2.67E+02,-136.7,-1.68E+02,-100.4,-1.80E+02,-1.49E+02
101,-1.74E+02,-1.76E+02,-1.36E+02,-1.31E+02,-2.65E+02,-134.06,-1.69E+02,-99.7,-1.78E+02,-1.47E+02
102,-1.77E+02,-1.76E+02,-1.37E+02,-1.31E+02,-2.63E+02,-131.87,-1.66E+02,-99.2,-1.79E+02,-1.48E+02
103,-1.78E+02,-1.75E+02,-1.37E+02,-1.32E+02,-2.60E+02,-127.48,-1.68E+02,-97.3,-1.80E+02,-1.47E+02
104,-1.78E+02,-1.74E+02,-1.35E+02,-1.32E+02,-2.55E+02,-126.27,-1.64E+02,-94,-1.79E+02,-1.48E+02
105,-1.78E+02,-1.75E+02,-1.33E+02,-1.32E+02,-2.54E+02,-125,-1.61E+02,-89.8,-1.77E+02,-1.48E+02
106,-1.78E+02,-1.76E+02,-1.36E+02,-1.31E+02,-2.51E+02,-126.12,-1.54E+02,-89.8,-1.76E+02,-1.49E+02
107,-1.79E+02,-1.81E+02,-1.35E+02,-1.31E+02,-2.48E+02,-125.04,-1.53E+02,-85.9,-1.77E+02,-1.48E+02
108,-1.81E+02,-1.80E+02,-1.34E+02,-1.30E+02,-2.44E+02,-124.97,-1.50E+02,-81.1,-1.77E+02,-1.48E+02
109,-1.81E+02,-1.80E+02,-1.32E+02,-1.30E+02,-2.40E+02,-121.03,-1.49E+02,-77.1,-1.76E+02,-1.46E+02
110,-1.81E+02,-1.81E+02,-1.33E+02,-1.30E+02,-2.36E+02,-123.65,-1.45E+02,-73.1,-1.78E+02,-1.47E+02
111,-1.81E+02,-1.81E+02,-1.32E+02,-1.30E+02,-2.30E+02,-120.22,-1.47E+02,-71,-1.80E+02,-1.47E+02
112,-1.78E+02,-1.80E+02,-1.31E+02,-1.30E+02,-2.23E+02,-120.91,-1.48E+02,-66.3,-1.78E+02,-1.46E+02
113,-1.82E+02,-1.81E+02,-1.31E+02,-1.30E+02,-2.18E+02,-120.2,-1.45E+02,-65.8,-1.75E+02,-1.45E+02
114,-1.81E+02,-1.79E+02,-1.31E+02,-1.30E+02,-2.15E+02,-122.03,-1.46E+02,-65.6,-1.74E+02,-1.45E+02
115,-1.82E+02,-1.79E+02,-1.32E+02,-1.30E+02,-2.11E+02,-122.66,-1.44E+02,-65.3,-1.74E+02,-1.45E+02
116,-1.79E+02,-1.81E+02,-1.31E+02,-1.29E+02,-2.05E+02,-123.35,-1.40E+02,-66.1,-1.75E+02,-1.46E+02
117,-1.82E+02,-1.82E+02,-1.31E+02,-1.30E+02,-2.02E+02,-122.8,-1.37E+02,-65.9,-1.74E+02,-1.45E+02
118,-1.80E+02,-1.83E+02,-1.31E+02,-1.30E+02,-1.98E+02,-121.13,-1.34E+02,-64.1,-1.76E+02,-1.47E+02
119,-1.81E+02,-1.83E+02,-1.31E+02,-1.30E+02,-1.95E+02,-121.84,-1.35E+02,-66,-1.77E+02,-1.46E+02
120,-1.83E+02,-1.82E+02,-1.29E+02,-1.32E+02,-1.90E+02,-124.54,-1.34E+02,-63.8,-1.78E+02,-1.46E+02
121,-1.83E+02,-1.82E+02,-1.29E+02,-1.32E+02,-1.86E+02,-127.63,-1.35E+02,-65.9,-1.78E+02,-1.46E+02
122,-1.79E+02,-1.83E+02,-1.30E+02,-1.32E+02,-1.92E+02,-128.45,-1.31E+02,-63.6,-1.77E+02,-1.44E+02
123,-1.78E+02,-1.84E+02,-1.33E+02,-1.32E+02,-1.92E+02,-131.15,-1.31E+02,-58.4,-1.76E+02,-1.43E+02
124,-1.77E+02,-1.81E+02,-1.34E+02,-1.33E+02,-1.88E+02,-131.29,-1.27E+02,-59.7,-1.77E+02,-1.43E+02
125,-1.78E+02,-1.84E+02,-1.34E+02,-1.32E+02,-1.81E+02,-127.31,-1.25E+02,-56.1,-1.79E+02,-1.38E+02
126,-1.77E+02,-1.81E+02,-1.38E+02,-1.32E+02,-1.57E+02,-115.43,-1.28E+02,-55,-1.78E+02,-1.38E+02
127,-1.79E+02,-1.80E+02,-1.38E+02,-1.33E+02,-1.53E+02,-116.12,-1.25E+02,-52.3,-1.75E+02,-1.38E+02
128,-1.80E+02,-1.82E+02,-1.37E+02,-1.33E+02,-1.32E+02,-115.46,-1.23E+02,-50.3,-1.76E+02,-1.38E+02
129,-1.81E+02,-1.81E+02,-1.37E+02,-1.34E+02,-1.27E+02,-115.36,-1.18E+02,-48.1,-1.78E+02,-1.38E+02
130,-1.80E+02,-1.81E+02,-1.36E+02,-1.34E+02,-1.30E+02,-113.37,-1.15E+02,-49.6,-1.79E+02,-1.38E+02
131,-1.81E+02,-1.83E+02,-1.36E+02,-1.34E+02,-1.27E+02,-109.85,-1.11E+02,-46.4,-1.79E+02,-1.38E+02
132,-1.83E+02,-1.82E+02,-1.34E+02,-1.34E+02,-1.26E+02,-111.6,-1.06E+02,-48,-1.77E+02,-1.37E+02
133,-1.83E+02,-1.84E+02,-1.33E+02,-1.35E+02,-1.21E+02,-110.79,-1.03E+02,-50.8,-1.78E+02,-1.36E+02
134,-1.84E+02,-1.85E+02,-1.33E+02,-1.35E+02,-1.17E+02,-107.59,-9.84E+01,-47.6,-1.79E+02,-1.35E+02
135,-1.84E+02,-1.84E+02,-1.32E+02,-1.34E+02,-1.19E+02,-105.97,-7.44E+01,-48.2,-1.79E+02,-1.35E+02
136,-1.81E+02,-1.85E+02,-1.32E+02,-1.34E+02,-1.14E+02,-107.41,-7.38E+01,-46.2,-1.78E+02,-1.35E+02
137,-1.81E+02,-1.81E+02,-1.30E+02,-1.35E+02,-1.10E+02,-107.46,-4.59E+01,-43.7,-1.81E+02,-1.35E+02
138,-1.81E+02,-1.81E+02,-1.30E+02,-1.35E+02,-9.09E+01,-107.76,-4.18E+01,-41.5,-1.82E+02,-1.33E+02
139,-1.81E+02,-1.81E+02,-1.30E+02,-1.36E+02,-8.58E+01,-108.91,-3.65E+01,-41.9,-1.81E+02,-1.33E+02
140,-1.82E+02,-1.79E+02,-1.29E+02,-1.36E+02,-4.95E+01,-110.46,-3.37E+01,-42.4,-1.82E+02,-1.33E+02
141,-1.85E+02,-1.81E+02,-1.28E+02,-1.36E+02,-4.53E+01,-108.49,-2.49E+01,-41.1,-1.83E+02,-1.34E+02
142,-1.83E+02,-1.81E+02,-1.27E+02,-1.36E+02,-4.16E+01,-106.28,6.11E+00,-46,-1.84E+02,-1.34E+02
143,-1.82E+02,-1.81E+02,-1.26E+02,-1.37E+02,-3.77E+01,-111.02,9.32E+00,-46.1,-1.84E+02,-1.34E+02
144,-1.83E+02,-1.81E+02,-1.26E+02,-1.36E+02,-7.11E+00,-111.08,1.29E+01,-48.5,-1.84E+02,-1.34E+02
145,-1.84E+02,-1.81E+02,-1.25E+02,-1.36E+02,3.12E+00,-97.46,1.13E+01,-47.5,-1.84E+02,-1.33E+02
