Episode Number,Random Agent,Naïve Sarsa,"Sarsa, Space Discretized","Sarsa, Space Discretized, Noisy Observation",Deep Q-Network,"Deep Q-Network, Noisy Observation",Dueling Deep Q-Network,"Dueling Deep Q-Network, Noisy Observation",REINFORCE,"REINFORCE, Noisy Observation"
1482,-1.93E+02,-9.62E+01,-8.53E+01,-1.38E+02,,,,,-1.30E+02,-9.87E+01
1483,-1.92E+02,-9.52E+01,-8.59E+01,-1.38E+02,,,,,-1.28E+02,-9.89E+01
1484,-1.91E+02,-9.60E+01,-8.53E+01,-1.38E+02,,,,,-1.29E+02,-9.87E+01
1485,-1.90E+02,-9.54E+01,-8.57E+01,-1.39E+02,,,,,-1.31E+02,-9.94E+01
1486,-1.87E+02,-9.50E+01,-8.66E+01,-1.39E+02,,,,,-1.33E+02,-9.98E+01
1487,-1.87E+02,-9.48E+01,-8.68E+01,-1.37E+02,,,,,-1.33E+02,-1.01E+02
1488,-1.86E+02,-9.64E+01,-8.80E+01,-1.36E+02,,,,,-1.36E+02,-1.03E+02
1489,-1.88E+02,-9.67E+01,-8.83E+01,-1.38E+02,,,,,-1.36E+02,-1.03E+02
1490,-1.89E+02,-9.74E+01,-8.81E+01,-1.38E+02,,,,,-1.37E+02,-1.02E+02
1491,-1.89E+02,-9.58E+01,-8.77E+01,-1.38E+02,,,,,-1.36E+02,-1.04E+02
1492,-1.91E+02,-9.54E+01,-8.73E+01,-1.38E+02,,,,,-1.38E+02,-1.03E+02
1493,-1.93E+02,-9.51E+01,-8.88E+01,-1.37E+02,,,,,-1.39E+02,-1.02E+02
1494,-1.94E+02,-9.71E+01,-8.95E+01,-1.36E+02,,,,,-1.40E+02,-1.01E+02
1495,-1.96E+02,-9.92E+01,-8.98E+01,-1.36E+02,,,,,-1.42E+02,-1.01E+02
1496,-1.94E+02,-9.88E+01,-9.25E+01,-1.37E+02,,,,,-1.40E+02,-1.05E+02
1497,-1.93E+02,-9.85E+01,-8.91E+01,-1.36E+02,,,,,-1.40E+02,-1.04E+02
1498,-1.93E+02,-9.98E+01,-8.88E+01,-1.38E+02,,,,,-1.43E+02,-1.03E+02
1499,-1.90E+02,-1.01E+02,-8.78E+01,-1.37E+02,,,,,-1.42E+02,-1.03E+02
1500,-1.91E+02,-1.00E+02,-8.57E+01,-1.38E+02,,,,,-1.44E+02,-1.03E+02
1501,-1.87E+02,-9.97E+01,-8.60E+01,-1.38E+02,,,,,-1.44E+02,-1.02E+02
1502,-1.88E+02,-9.88E+01,-8.64E+01,-1.37E+02,,,,,-1.47E+02,-1.02E+02
1503,-1.90E+02,-9.94E+01,-8.60E+01,-1.38E+02,,,,,-1.48E+02,-1.01E+02
1504,-1.92E+02,-9.90E+01,-8.60E+01,-1.38E+02,,,,,-1.49E+02,-9.77E+01
1505,-1.91E+02,-9.91E+01,-8.72E+01,-1.38E+02,,,,,-1.50E+02,-9.74E+01
1506,-1.92E+02,-1.02E+02,-8.70E+01,-1.38E+02,,,,,-1.53E+02,-9.66E+01
1507,-1.91E+02,-9.91E+01,-8.76E+01,-1.39E+02,,,,,-1.52E+02,-9.57E+01
1508,-1.94E+02,-1.01E+02,-8.69E+01,-1.38E+02,,,,,-1.49E+02,-9.49E+01
1509,-1.91E+02,-1.01E+02,-8.72E+01,-1.38E+02,,,,,-1.52E+02,-9.67E+01
1510,-1.92E+02,-1.01E+02,-8.79E+01,-1.38E+02,,,,,-1.50E+02,-9.91E+01
1511,-1.93E+02,-9.99E+01,-8.78E+01,-1.38E+02,,,,,-1.50E+02,-9.65E+01
1512,-1.93E+02,-1.01E+02,-8.76E+01,-1.39E+02,,,,,-1.51E+02,-9.62E+01
1513,-1.95E+02,-9.98E+01,-8.74E+01,-1.39E+02,,,,,-1.52E+02,-9.46E+01
1514,-1.95E+02,-1.01E+02,-8.83E+01,-1.40E+02,,,,,-1.55E+02,-9.47E+01
1515,-1.98E+02,-1.00E+02,-8.81E+01,-1.40E+02,,,,,-1.56E+02,-9.14E+01
1516,-1.96E+02,-9.96E+01,-8.94E+01,-1.40E+02,,,,,-1.57E+02,-9.20E+01
1517,-1.96E+02,-9.97E+01,-8.80E+01,-1.41E+02,,,,,-1.57E+02,-9.09E+01
1518,-1.97E+02,-9.88E+01,-8.82E+01,-1.40E+02,,,,,-1.59E+02,-9.45E+01
1519,-1.96E+02,-9.80E+01,-8.71E+01,-1.40E+02,,,,,-1.60E+02,-9.48E+01
1520,-1.95E+02,-9.86E+01,-8.44E+01,-1.41E+02,,,,,-1.65E+02,-9.45E+01
1521,-1.96E+02,-9.78E+01,-8.42E+01,-1.41E+02,,,,,-1.65E+02,-9.33E+01
1522,-1.94E+02,-9.99E+01,-8.35E+01,-1.41E+02,,,,,-1.67E+02,-9.23E+01
1523,-1.94E+02,-9.97E+01,-8.28E+01,-1.42E+02,,,,,-1.66E+02,-9.77E+01
1524,-1.93E+02,-1.00E+02,-8.29E+01,-1.41E+02,,,,,-1.72E+02,-1.00E+02
1525,-1.94E+02,-1.02E+02,-8.32E+01,-1.41E+02,,,,,-1.74E+02,-1.00E+02
1526,-1.92E+02,-1.03E+02,-8.49E+01,-1.40E+02,,,,,-1.76E+02,-1.02E+02
1527,-1.93E+02,-1.04E+02,-8.57E+01,-1.41E+02,,,,,-1.80E+02,-1.01E+02
1528,-1.91E+02,-1.04E+02,-8.59E+01,-1.41E+02,,,,,-1.82E+02,-1.04E+02
1529,-1.93E+02,-1.04E+02,-8.61E+01,-1.41E+02,,,,,-1.83E+02,-1.03E+02
1530,-1.92E+02,-1.04E+02,-8.56E+01,-1.40E+02,,,,,-1.83E+02,-1.03E+02
1531,-1.91E+02,-1.03E+02,-8.52E+01,-1.40E+02,,,,,-1.83E+02,-1.01E+02
1532,-1.88E+02,-1.04E+02,-8.48E+01,-1.40E+02,,,,,-1.82E+02,-1.01E+02
1533,-1.86E+02,-1.03E+02,-8.34E+01,-1.41E+02,,,,,-1.83E+02,-1.13E+02
1534,-1.86E+02,-1.03E+02,-8.40E+01,-1.41E+02,,,,,-1.86E+02,-1.13E+02
1535,-1.85E+02,-1.03E+02,-8.47E+01,-1.41E+02,,,,,-1.84E+02,-1.12E+02
1536,-1.83E+02,-1.03E+02,-8.46E+01,-1.40E+02,,,,,-1.83E+02,-1.11E+02
1537,-1.79E+02,-1.02E+02,-8.44E+01,-1.41E+02,,,,,-1.84E+02,-1.11E+02
1538,-1.76E+02,-1.00E+02,-8.41E+01,-1.42E+02,,,,,-1.85E+02,-1.10E+02
1539,-1.78E+02,-1.00E+02,-8.34E+01,-1.42E+02,,,,,-1.92E+02,-1.11E+02
1540,-1.78E+02,-1.00E+02,-8.32E+01,-1.42E+02,,,,,-1.93E+02,-1.11E+02
1541,-1.80E+02,-9.99E+01,-8.43E+01,-1.42E+02,,,,,-1.92E+02,-1.10E+02
1542,-1.80E+02,-1.00E+02,-8.37E+01,-1.43E+02,,,,,-1.92E+02,-1.10E+02
1543,-1.78E+02,-1.02E+02,-8.69E+01,-1.43E+02,,,,,-1.91E+02,-1.09E+02
1544,-1.77E+02,-1.03E+02,-8.67E+01,-1.43E+02,,,,,-1.91E+02,-1.09E+02
1545,-1.80E+02,-1.04E+02,-8.56E+01,-1.43E+02,,,,,-1.90E+02,-1.09E+02
1546,-1.79E+02,-1.06E+02,-8.58E+01,-1.43E+02,,,,,-1.91E+02,-1.09E+02
1547,-1.80E+02,-1.07E+02,-8.54E+01,-1.42E+02,,,,,-1.88E+02,-1.09E+02
1548,-1.77E+02,-1.07E+02,-8.57E+01,-1.42E+02,,,,,-1.89E+02,-1.09E+02
1549,-1.77E+02,-1.08E+02,-8.51E+01,-1.43E+02,,,,,-1.84E+02,-1.08E+02
1550,-1.76E+02,-1.07E+02,-8.52E+01,-1.43E+02,,,,,-1.85E+02,-1.08E+02
1551,-1.77E+02,-1.07E+02,-8.52E+01,-1.43E+02,,,,,-1.80E+02,-1.08E+02
1552,-1.77E+02,-1.02E+02,-8.67E+01,-1.43E+02,,,,,-1.79E+02,-1.08E+02
1553,-1.78E+02,-1.04E+02,-8.69E+01,-1.42E+02,,,,,-1.82E+02,-1.08E+02
1554,-1.76E+02,-1.03E+02,-8.66E+01,-1.43E+02,,,,,-1.81E+02,-1.08E+02
1555,-1.76E+02,-1.01E+02,-8.79E+01,-1.39E+02,,,,,-1.79E+02,-1.08E+02
1556,-1.76E+02,-1.01E+02,-8.92E+01,-1.38E+02,,,,,-1.80E+02,-1.08E+02
1557,-1.73E+02,-1.03E+02,-8.94E+01,-1.38E+02,,,,,-1.79E+02,-1.08E+02
1558,-1.74E+02,-1.02E+02,-9.08E+01,-1.39E+02,,,,,-1.80E+02,-1.08E+02
1559,-1.74E+02,-1.03E+02,-9.00E+01,-1.38E+02,,,,,-1.80E+02,-1.08E+02
1560,-1.74E+02,-1.03E+02,-8.94E+01,-1.38E+02,,,,,-1.78E+02,-1.08E+02
1561,-1.74E+02,-1.02E+02,-8.93E+01,-1.37E+02,,,,,-1.77E+02,-1.07E+02
1562,-1.76E+02,-1.03E+02,-8.94E+01,-1.38E+02,,,,,-1.78E+02,-1.07E+02
1563,-1.78E+02,-1.03E+02,-8.84E+01,-1.36E+02,,,,,-1.76E+02,-1.07E+02
1564,-1.79E+02,-1.03E+02,-8.82E+01,-1.36E+02,,,,,-1.76E+02,-1.07E+02
1565,-1.81E+02,-1.04E+02,-8.73E+01,-1.38E+02,,,,,-1.74E+02,-1.07E+02
1566,-1.81E+02,-1.03E+02,-8.73E+01,-1.35E+02,,,,,-1.77E+02,-1.07E+02
1567,-1.80E+02,-1.04E+02,-8.70E+01,-1.34E+02,,,,,-1.77E+02,-1.06E+02
1568,-1.80E+02,-1.03E+02,-8.64E+01,-1.34E+02,,,,,-1.76E+02,-1.06E+02
1569,-1.80E+02,-1.01E+02,-8.70E+01,-1.34E+02,,,,,-1.77E+02,-1.06E+02
1570,-1.78E+02,-1.02E+02,-8.65E+01,-1.35E+02,,,,,-1.76E+02,-1.06E+02
1571,-1.79E+02,-1.00E+02,-8.62E+01,-1.35E+02,,,,,-1.77E+02,-1.06E+02
1572,-1.78E+02,-1.01E+02,-8.63E+01,-1.36E+02,,,,,-1.76E+02,-1.07E+02
1573,-1.78E+02,-1.02E+02,-8.48E+01,-1.34E+02,,,,,-1.79E+02,-1.07E+02
1574,-1.74E+02,-1.02E+02,-8.59E+01,-1.34E+02,,,,,-1.77E+02,-1.07E+02
1575,-1.75E+02,-1.01E+02,-8.59E+01,-1.35E+02,,,,,-1.74E+02,-1.12E+02
1576,-1.75E+02,-1.01E+02,-8.68E+01,-1.35E+02,,,,,-1.74E+02,-1.12E+02
1577,-1.75E+02,-1.01E+02,-8.68E+01,-1.33E+02,,,,,-1.72E+02,-1.12E+02
1578,-1.75E+02,-1.01E+02,-8.73E+01,-1.33E+02,,,,,-1.70E+02,-1.12E+02
1579,-1.76E+02,-1.00E+02,-8.52E+01,-1.33E+02,,,,,-1.69E+02,-1.11E+02
1580,-1.76E+02,-9.89E+01,-8.68E+01,-1.33E+02,,,,,-1.71E+02,-1.11E+02
1581,-1.77E+02,-1.02E+02,-8.77E+01,-1.33E+02,,,,,-1.70E+02,-1.11E+02
1582,-1.75E+02,-1.02E+02,-8.71E+01,-1.33E+02,,,,,-1.69E+02,-1.10E+02
1583,-1.75E+02,-1.03E+02,-8.62E+01,-1.32E+02,,,,,-1.69E+02,-1.10E+02
1584,-1.77E+02,-1.04E+02,-8.62E+01,-1.32E+02,,,,,-1.67E+02,-1.10E+02
1585,-1.78E+02,-1.04E+02,-8.77E+01,-1.31E+02,,,,,-1.65E+02,-1.09E+02
1586,-1.80E+02,-1.07E+02,-8.70E+01,-1.32E+02,,,,,-1.64E+02,-1.09E+02
1587,-1.80E+02,-1.08E+02,-8.72E+01,-1.33E+02,,,,,-1.64E+02,-1.09E+02
1588,-1.81E+02,-1.06E+02,-8.62E+01,-1.33E+02,,,,,-1.61E+02,-1.05E+02
1589,-1.80E+02,-1.05E+02,-8.58E+01,-1.34E+02,,,,,-1.58E+02,-1.06E+02
1590,-1.79E+02,-1.05E+02,-8.55E+01,-1.34E+02,,,,,-1.56E+02,-1.06E+02
1591,-1.78E+02,-1.07E+02,-8.51E+01,-1.35E+02,,,,,-1.54E+02,-1.03E+02
1592,-1.79E+02,-1.07E+02,-8.60E+01,-1.34E+02,,,,,-1.52E+02,-1.03E+02
1593,-1.76E+02,-1.07E+02,-8.45E+01,-1.34E+02,,,,,-1.50E+02,-1.04E+02
1594,-1.76E+02,-1.06E+02,-8.45E+01,-1.35E+02,,,,,-1.49E+02,-1.05E+02
1595,-1.77E+02,-1.05E+02,-8.41E+01,-1.34E+02,,,,,-1.48E+02,-1.05E+02
1596,-1.77E+02,-1.04E+02,-8.16E+01,-1.34E+02,,,,,-1.48E+02,-1.01E+02
1597,-1.76E+02,-1.06E+02,-8.23E+01,-1.35E+02,,,,,-1.46E+02,-1.01E+02
1598,-1.77E+02,-1.05E+02,-8.30E+01,-1.34E+02,,,,,-1.43E+02,-1.01E+02
1599,-1.77E+02,-1.05E+02,-8.30E+01,-1.34E+02,,,,,-1.44E+02,-9.99E+01
1600,-1.75E+02,-1.05E+02,-8.31E+01,-1.34E+02,,,,,-1.42E+02,-1.00E+02
1601,-1.76E+02,-1.04E+02,-8.25E+01,-1.33E+02,,,,,-1.43E+02,-1.00E+02
1602,-1.76E+02,-1.04E+02,-8.22E+01,-1.34E+02,,,,,-1.41E+02,-1.00E+02
1603,-1.75E+02,-1.04E+02,-8.24E+01,-1.34E+02,,,,,-1.39E+02,-1.00E+02
1604,-1.77E+02,-1.04E+02,-8.20E+01,-1.34E+02,,,,,-1.37E+02,-9.99E+01
1605,-1.77E+02,-1.02E+02,-8.15E+01,-1.34E+02,,,,,-1.37E+02,-9.98E+01
1606,-1.75E+02,-9.94E+01,-7.79E+01,-1.34E+02,,,,,-1.36E+02,-9.88E+01
1607,-1.73E+02,-9.99E+01,-7.73E+01,-1.33E+02,,,,,-1.33E+02,-9.73E+01
1608,-1.70E+02,-9.84E+01,-7.79E+01,-1.32E+02,,,,,-1.32E+02,-9.60E+01
1609,-1.70E+02,-9.88E+01,-7.99E+01,-1.33E+02,,,,,-1.28E+02,-9.34E+01
1610,-1.70E+02,-9.90E+01,-7.95E+01,-1.34E+02,,,,,-1.30E+02,-9.12E+01
1611,-1.67E+02,-9.91E+01,-7.94E+01,-1.33E+02,,,,,-1.29E+02,-9.22E+01
1612,-1.68E+02,-9.89E+01,-8.09E+01,-1.33E+02,,,,,-1.26E+02,-9.19E+01
1613,-1.66E+02,-9.94E+01,-8.11E+01,-1.33E+02,,,,,-1.24E+02,-9.05E+01
1614,-1.65E+02,-9.84E+01,-8.07E+01,-1.33E+02,,,,,-1.20E+02,-9.02E+01
1615,-1.63E+02,-1.01E+02,-8.07E+01,-1.32E+02,,,,,-1.19E+02,-9.03E+01
1616,-1.62E+02,-1.01E+02,-7.97E+01,-1.32E+02,,,,,-1.18E+02,-8.67E+01
1617,-1.64E+02,-1.00E+02,-7.99E+01,-1.32E+02,,,,,-1.17E+02,-8.62E+01
1618,-1.63E+02,-1.00E+02,-8.02E+01,-1.32E+02,,,,,-1.14E+02,-8.32E+01
1619,-1.63E+02,-1.01E+02,-8.18E+01,-1.32E+02,,,,,-1.12E+02,-8.08E+01
1620,-1.64E+02,-1.01E+02,-8.21E+01,-1.32E+02,,,,,-1.10E+02,-8.05E+01
1621,-1.63E+02,-1.02E+02,-8.20E+01,-1.32E+02,,,,,-1.09E+02,-8.11E+01
1622,-1.63E+02,-9.78E+01,-8.30E+01,-1.33E+02,,,,,-1.07E+02,-8.12E+01
1623,-1.63E+02,-9.82E+01,-8.32E+01,-1.32E+02,,,,,-1.06E+02,-7.47E+01
1624,-1.64E+02,-9.80E+01,-8.19E+01,-1.33E+02,,,,,-1.03E+02,-7.18E+01
1625,-1.66E+02,-9.69E+01,-8.16E+01,-1.33E+02,,,,,-1.01E+02,-7.19E+01
1626,-1.69E+02,-9.54E+01,-7.91E+01,-1.33E+02,,,,,-9.82E+01,-6.96E+01
1627,-1.69E+02,-9.58E+01,-7.89E+01,-1.32E+02,,,,,-9.39E+01,-6.99E+01
1628,-1.69E+02,-9.79E+01,-7.76E+01,-1.33E+02,,,,,-8.64E+01,-6.69E+01
1629,-1.69E+02,-1.01E+02,-7.75E+01,-1.33E+02,,,,,-8.47E+01,-6.67E+01
1630,-1.69E+02,-1.02E+02,-7.92E+01,-1.33E+02,,,,,-8.31E+01,-6.56E+01
1631,-1.69E+02,-1.02E+02,-7.87E+01,-1.33E+02,,,,,-8.14E+01,-6.33E+01
1632,-1.72E+02,-1.02E+02,-7.94E+01,-1.33E+02,,,,,-8.01E+01,-6.21E+01
1633,-1.71E+02,-1.02E+02,-7.91E+01,-1.33E+02,,,,,-7.69E+01,-5.03E+01
1634,-1.73E+02,-1.04E+02,-7.88E+01,-1.32E+02,,,,,-7.26E+01,-5.01E+01
1635,-1.73E+02,-1.02E+02,-8.04E+01,-1.32E+02,,,,,-6.98E+01,-5.02E+01
1636,-1.73E+02,-1.02E+02,-8.11E+01,-1.32E+02,,,,,-6.59E+01,-5.00E+01
1637,-1.75E+02,-1.04E+02,-8.12E+01,-1.30E+02,,,,,-6.40E+01,-5.02E+01
1638,-1.76E+02,-1.03E+02,-8.06E+01,-1.30E+02,,,,,-6.06E+01,-5.00E+01
1639,-1.73E+02,-1.02E+02,-8.07E+01,-1.30E+02,,,,,-5.43E+01,-4.61E+01
1640,-1.74E+02,-1.02E+02,-8.13E+01,-1.30E+02,,,,,-5.04E+01,-4.41E+01
1641,-1.73E+02,-1.02E+02,-8.09E+01,-1.30E+02,,,,,-4.83E+01,-4.45E+01
1642,-1.73E+02,-1.04E+02,-8.13E+01,-1.30E+02,,,,,-4.46E+01,-4.43E+01
1643,-1.72E+02,-1.03E+02,-7.83E+01,-1.30E+02,,,,,-4.38E+01,-4.38E+01
1644,-1.72E+02,-1.01E+02,-7.82E+01,-1.29E+02,,,,,-4.06E+01,-4.33E+01
1645,-1.70E+02,-9.90E+01,-7.79E+01,-1.29E+02,,,,,-3.94E+01,-4.38E+01
1646,-1.69E+02,-9.83E+01,-7.81E+01,-1.29E+02,,,,,-3.87E+01,-4.43E+01
1647,-1.67E+02,-9.76E+01,-7.85E+01,-1.29E+02,,,,,-3.89E+01,-4.40E+01
1648,-1.67E+02,-9.74E+01,-7.75E+01,-1.29E+02,,,,,-3.77E+01,-4.13E+01
1649,-1.68E+02,-9.80E+01,-7.88E+01,-1.29E+02,,,,,-4.03E+01,-4.16E+01
1650,-1.68E+02,-1.00E+02,-7.92E+01,-1.29E+02,,,,,-3.82E+01,-4.18E+01
1651,-1.67E+02,-1.02E+02,-7.90E+01,-1.30E+02,,,,,-3.53E+01,-4.14E+01
1652,-1.69E+02,-1.05E+02,-7.79E+01,-1.30E+02,,,,,-3.43E+01,-4.09E+01
1653,-1.68E+02,-1.06E+02,-8.04E+01,-1.30E+02,,,,,-3.06E+01,-4.04E+01
1654,-1.67E+02,-1.05E+02,-8.04E+01,-1.30E+02,,,,,-2.92E+01,-3.99E+01
1655,-1.67E+02,-1.06E+02,-7.85E+01,-1.32E+02,,,,,-2.97E+01,-3.92E+01
1656,-1.68E+02,-1.06E+02,-7.82E+01,-1.34E+02,,,,,-2.94E+01,-3.90E+01
1657,-1.68E+02,-1.03E+02,-7.82E+01,-1.33E+02,,,,,-2.70E+01,-3.89E+01
1658,-1.67E+02,-1.04E+02,-7.87E+01,-1.33E+02,,,,,-2.49E+01,-4.03E+01
1659,-1.69E+02,-1.04E+02,-7.89E+01,-1.33E+02,,,,,-2.38E+01,-4.04E+01
1660,-1.69E+02,-1.04E+02,-7.85E+01,-1.33E+02,,,,,-2.27E+01,-4.04E+01
1661,-1.70E+02,-1.07E+02,-7.85E+01,-1.32E+02,,,,,-2.13E+01,-4.08E+01
1662,-1.67E+02,-1.05E+02,-7.83E+01,-1.33E+02,,,,,-1.94E+01,-4.03E+01
1663,-1.64E+02,-1.03E+02,-7.89E+01,-1.35E+02,,,,,-1.87E+01,-3.99E+01
1664,-1.63E+02,-1.03E+02,-7.86E+01,-1.34E+02,,,,,-1.82E+01,-3.96E+01
1665,-1.64E+02,-1.02E+02,-7.88E+01,-1.32E+02,,,,,-1.71E+01,-3.99E+01
1666,-1.63E+02,-1.03E+02,-7.88E+01,-1.33E+02,,,,,-1.61E+01,-3.84E+01
1667,-1.63E+02,-1.01E+02,-7.86E+01,-1.34E+02,,,,,-1.43E+01,-3.87E+01
1668,-1.63E+02,-1.00E+02,-7.89E+01,-1.34E+02,,,,,-1.48E+01,-3.80E+01
1669,-1.66E+02,-1.01E+02,-7.79E+01,-1.34E+02,,,,,-1.45E+01,-3.78E+01
1670,-1.67E+02,-1.01E+02,-7.91E+01,-1.33E+02,,,,,-1.33E+01,-3.78E+01
1671,-1.66E+02,-1.00E+02,-7.90E+01,-1.33E+02,,,,,-1.15E+01,-3.78E+01
1672,-1.66E+02,-1.01E+02,-8.05E+01,-1.32E+02,,,,,-8.29E+00,-3.79E+01
1673,-1.66E+02,-1.01E+02,-8.10E+01,-1.32E+02,,,,,-1.01E+01,-3.76E+01
1674,-1.66E+02,-1.00E+02,-8.08E+01,-1.32E+02,,,,,-1.02E+01,-3.75E+01
1675,-1.66E+02,-1.01E+02,-8.08E+01,-1.30E+02,,,,,-1.35E+01,-3.17E+01
1676,-1.67E+02,-1.02E+02,-8.04E+01,-1.31E+02,,,,,-1.36E+01,-2.95E+01
1677,-1.67E+02,-1.01E+02,-8.11E+01,-1.32E+02,,,,,-1.39E+01,-2.98E+01
1678,-1.68E+02,-1.01E+02,-8.16E+01,-1.32E+02,,,,,-1.32E+01,-2.97E+01
1679,-1.69E+02,-1.02E+02,-8.25E+01,-1.32E+02,,,,,-1.43E+01,-2.83E+01
1680,-1.70E+02,-1.02E+02,-8.10E+01,-1.31E+02,,,,,-1.19E+01,-2.80E+01
1681,-1.68E+02,-9.88E+01,-7.77E+01,-1.31E+02,,,,,-1.14E+01,-2.77E+01
1682,-1.69E+02,-9.80E+01,-7.84E+01,-1.32E+02,,,,,-8.61E+00,-2.75E+01
1683,-1.69E+02,-1.01E+02,-7.87E+01,-1.32E+02,,,,,-1.03E+01,-2.71E+01
1684,-1.67E+02,-9.77E+01,-7.96E+01,-1.31E+02,,,,,-9.50E+00,-2.74E+01
1685,-1.67E+02,-1.01E+02,-7.77E+01,-1.31E+02,,,,,-7.18E+00,-2.73E+01
1686,-1.64E+02,-9.81E+01,-7.78E+01,-1.31E+02,,,,,-7.53E+00,-2.68E+01
1687,-1.64E+02,-9.82E+01,-7.76E+01,-1.31E+02,,,,,-7.26E+00,-2.44E+01
1688,-1.64E+02,-9.86E+01,-7.71E+01,-1.31E+02,,,,,-8.11E+00,-2.45E+01
1689,-1.63E+02,-9.90E+01,-7.64E+01,-1.31E+02,,,,,-1.09E+01,-2.54E+01
1690,-1.63E+02,-9.84E+01,-7.56E+01,-1.31E+02,,,,,-1.05E+01,-2.25E+01
1691,-1.64E+02,-9.77E+01,-7.66E+01,-1.31E+02,,,,,-1.04E+01,-2.27E+01
1692,-1.61E+02,-9.93E+01,-7.66E+01,-1.32E+02,,,,,-9.95E+00,-2.29E+01
1693,-1.63E+02,-9.88E+01,-7.73E+01,-1.33E+02,,,,,-9.61E+00,-2.23E+01
1694,-1.64E+02,-9.82E+01,-7.82E+01,-1.33E+02,,,,,-1.32E+01,-2.21E+01
1695,-1.59E+02,-9.72E+01,-7.87E+01,-1.33E+02,,,,,-1.32E+01,-2.26E+01
1696,-1.59E+02,-9.80E+01,-7.84E+01,-1.34E+02,,,,,-1.32E+01,-2.28E+01
1697,-1.60E+02,-9.49E+01,-7.80E+01,-1.34E+02,,,,,-1.35E+01,-2.41E+01
1698,-1.61E+02,-9.42E+01,-7.79E+01,-1.34E+02,,,,,-1.37E+01,-2.48E+01
1699,-1.61E+02,-9.51E+01,-7.86E+01,-1.34E+02,,,,,-1.24E+01,-2.20E+01
1700,-1.64E+02,-9.53E+01,-7.89E+01,-1.34E+02,,,,,-1.47E+01,-2.29E+01
1701,-1.65E+02,-9.45E+01,-7.94E+01,-1.36E+02,,,,,-1.60E+01,-2.32E+01
1702,-1.66E+02,-9.51E+01,-7.89E+01,-1.36E+02,,,,,-1.51E+01,-2.11E+01
1703,-1.68E+02,-9.50E+01,-8.02E+01,-1.36E+02,,,,,-1.51E+01,-2.20E+01
1704,-1.67E+02,-9.63E+01,-8.10E+01,-1.36E+02,,,,,-1.53E+01,-2.14E+01
1705,-1.68E+02,-9.83E+01,-8.04E+01,-1.36E+02,,,,,-1.54E+01,-2.14E+01
1706,-1.68E+02,-9.90E+01,-8.29E+01,-1.36E+02,,,,,-1.38E+01,-2.17E+01
1707,-1.68E+02,-9.87E+01,-8.29E+01,-1.36E+02,,,,,-1.37E+01,-2.30E+01
1708,-1.69E+02,-9.87E+01,-8.27E+01,-1.37E+02,,,,,-1.05E+01,-2.30E+01
1709,-1.71E+02,-9.99E+01,-8.08E+01,-1.37E+02,,,,,-1.06E+01,-2.41E+01
1710,-1.70E+02,-9.89E+01,-8.05E+01,-1.37E+02,,,,,-1.13E+01,-2.41E+01
1711,-1.68E+02,-9.95E+01,-8.21E+01,-1.37E+02,,,,,-1.16E+01,-2.40E+01
1712,-1.67E+02,-9.96E+01,-8.10E+01,-1.37E+02,,,,,-1.22E+01,-2.48E+01
1713,-1.67E+02,-1.00E+02,-8.08E+01,-1.37E+02,,,,,-1.27E+01,-2.41E+01
1714,-1.70E+02,-9.95E+01,-8.01E+01,-1.37E+02,,,,,-1.26E+01,-2.39E+01
1715,-1.72E+02,-9.69E+01,-8.07E+01,-1.37E+02,,,,,-1.26E+01,-2.11E+01
1716,-1.73E+02,-9.72E+01,-8.04E+01,-1.37E+02,,,,,-1.21E+01,-1.81E+01
1717,-1.72E+02,-9.70E+01,-8.07E+01,-1.36E+02,,,,,-1.16E+01,-1.66E+01
1718,-1.75E+02,-9.75E+01,-8.01E+01,-1.36E+02,,,,,-1.11E+01,-1.61E+01
1719,-1.78E+02,-9.66E+01,-7.90E+01,-1.36E+02,,,,,-9.98E+00,-1.85E+01
1720,-1.74E+02,-9.89E+01,-7.88E+01,-1.36E+02,,,,,-8.55E+00,-1.84E+01
1721,-1.76E+02,-1.01E+02,-7.86E+01,-1.36E+02,,,,,-7.92E+00,-1.88E+01
1722,-1.77E+02,-1.02E+02,-7.83E+01,-1.35E+02,,,,,-7.67E+00,-1.63E+01
1723,-1.78E+02,-1.03E+02,-7.88E+01,-1.35E+02,,,,,-7.53E+00,-1.48E+01
1724,-1.78E+02,-1.03E+02,-7.90E+01,-1.35E+02,,,,,-7.96E+00,-1.47E+01
1725,-1.76E+02,-1.03E+02,-7.85E+01,-1.35E+02,,,,,-7.49E+00,-1.27E+01
1726,-1.73E+02,-1.02E+02,-7.89E+01,-1.36E+02,,,,,-4.41E+00,-1.02E+01
1727,-1.72E+02,-1.01E+02,-7.87E+01,-1.36E+02,,,,,-4.59E+00,-9.83E+00
1728,-1.71E+02,-1.01E+02,-7.84E+01,-1.36E+02,,,,,-8.22E+00,-7.20E+00
1729,-1.71E+02,-9.78E+01,-7.90E+01,-1.37E+02,,,,,-7.97E+00,-7.73E+00
1730,-1.74E+02,-9.74E+01,-7.75E+01,-1.37E+02,,,,,-4.98E+00,-8.02E+00
1731,-1.73E+02,-9.82E+01,-7.78E+01,-1.37E+02,,,,,-5.23E+00,-8.98E+00
1732,-1.71E+02,-9.81E+01,-7.89E+01,-1.37E+02,,,,,-5.16E+00,-9.04E+00
